user_id,date,time,service_type,auth_status,region,device
1000,2025-01-06,14:34,OTP,Success,DL,Mobile
1001,2025-01-08,21:23,OTP,Success,KA,POS
1002,2025-01-04,15:30,OTP,Success,DL,Mobile
1003,2025-01-11,01:06,OTP,Success,KA,POS
1004,2025-01-09,11:19,Biometric,Success,KA,POS
1005,2025-01-02,12:52,Biometric,Success,DL,Mobile
1006,2025-01-05,00:29,Biometric,Success,MH,Mobile
1007,2025-01-05,13:27,Biometric,Fail,MH,Mobile
1008,2025-01-03,01:24,OTP,Success,DL,POS
1009,2025-01-09,13:27,OTP,Success,KA,Mobile
1010,2025-01-05,11:47,OTP,Success,MH,POS
1011,2025-01-09,19:30,OTP,Success,DL,Mobile
1012,2025-01-11,08:13,Biometric,Success,MH,Mobile
1013,2025-01-07,13:39,OTP,Success,MH,POS
1014,2025-01-10,13:14,OTP,Success,KA,Mobile
1015,2025-01-07,02:25,OTP,Success,DL,Mobile
1016,2025-01-08,01:24,OTP,Success,MH,Mobile
1017,2025-01-05,20:21,Biometric,Fail,DL,POS
1018,2025-01-08,05:16,OTP,Fail,MH,POS
1019,2025-01-03,11:59,OTP,Success,MH,POS
1020,2025-01-04,22:18,OTP,Success,MH,POS
1021,2025-01-03,20:04,OTP,Success,MH,Mobile
1022,2025-01-02,08:41,OTP,Success,KA,Mobile
1023,2025-01-06,17:53,OTP,Success,KA,POS
1024,2025-01-03,23:32,OTP,Success,DL,POS
1025,2025-01-05,15:13,Biometric,Success,MH,POS
1026,2025-01-01,02:14,Biometric,Fail,KA,Mobile
1027,2025-01-08,10:49,OTP,Success,DL,Mobile
1028,2025-01-08,19:18,OTP,Success,KA,POS
1029,2025-01-09,13:58,Biometric,Fail,MH,POS
1030,2025-01-08,19:40,Biometric,Fail,MH,Mobile
1031,2025-01-08,06:21,OTP,Fail,DL,Mobile
1032,2025-01-11,00:06,OTP,Success,KA,Mobile
1033,2025-01-01,07:51,OTP,Success,DL,POS
1034,2025-01-06,15:14,Biometric,Success,MH,POS
1035,2025-01-01,10:27,Biometric,Success,MH,POS
1036,2025-01-08,10:00,OTP,Success,DL,POS
1037,2025-01-11,13:25,OTP,Success,MH,Mobile
1038,2025-01-04,14:42,OTP,Fail,MH,POS
1039,2025-01-09,09:05,OTP,Success,MH,Mobile
1040,2025-01-02,11:34,OTP,Success,MH,POS
1041,2025-01-02,01:56,Biometric,Success,DL,Mobile
1042,2025-01-05,05:18,Biometric,Success,MH,Mobile
1043,2025-01-07,02:00,Biometric,Success,KA,POS
1044,2025-01-03,12:12,OTP,Success,DL,POS
1045,2025-01-08,07:58,Biometric,Success,DL,Mobile
1046,2025-01-09,00:12,Biometric,Success,KA,Mobile
1047,2025-01-06,17:00,OTP,Fail,DL,POS
1048,2025-01-04,18:04,OTP,Success,MH,Mobile
1049,2025-01-02,01:04,OTP,Success,MH,POS
1050,2025-01-04,19:53,Biometric,Success,MH,POS
1051,2025-01-08,06:44,Biometric,Success,KA,Mobile
1052,2025-01-03,22:37,Biometric,Fail,MH,POS
1053,2025-01-03,03:28,Biometric,Success,MH,Mobile
1054,2025-01-04,19:46,Biometric,Fail,MH,POS
1055,2025-01-01,06:13,Biometric,Success,MH,Mobile
1056,2025-01-03,08:40,Biometric,Success,MH,POS
1057,2025-01-06,21:13,OTP,Success,KA,POS
1058,2025-01-06,01:33,OTP,Success,DL,Mobile
1059,2025-01-11,12:01,OTP,Fail,MH,Mobile
1060,2025-01-08,10:24,OTP,Success,KA,Mobile
1061,2025-01-08,12:17,Biometric,Success,DL,POS
1062,2025-01-06,21:11,Biometric,Success,DL,Mobile
1063,2025-01-10,06:40,OTP,Success,KA,Mobile
1064,2025-01-01,15:31,OTP,Success,DL,POS
1065,2025-01-06,22:24,Biometric,Success,KA,POS
1066,2025-01-03,19:22,Biometric,Fail,MH,Mobile
1067,2025-01-04,10:20,OTP,Success,KA,POS
1068,2025-01-04,19:26,OTP,Success,KA,Mobile
1069,2025-01-05,10:41,Biometric,Fail,MH,POS
1070,2025-01-05,13:21,OTP,Success,KA,POS
1071,2025-01-09,02:46,Biometric,Success,MH,POS
1072,2025-01-08,07:53,Biometric,Success,KA,Mobile
1073,2025-01-06,09:37,Biometric,Success,DL,POS
1074,2025-01-09,18:52,OTP,Success,KA,POS
1075,2025-01-09,04:21,Biometric,Success,DL,POS
1076,2025-01-04,04:09,Biometric,Success,MH,POS
1077,2025-01-02,08:56,OTP,Success,KA,Mobile
1078,2025-01-08,09:04,Biometric,Success,KA,Mobile
1079,2025-01-09,00:26,Biometric,Success,KA,Mobile
1080,2025-01-04,01:40,Biometric,Fail,KA,Mobile
1081,2025-01-09,02:20,OTP,Success,KA,Mobile
1082,2025-01-11,01:58,OTP,Success,KA,POS
1083,2025-01-10,08:07,OTP,Success,MH,Mobile
1084,2025-01-08,21:43,OTP,Success,MH,Mobile
1085,2025-01-08,22:48,Biometric,Success,DL,Mobile
1086,2025-01-03,05:43,OTP,Success,KA,POS
1087,2025-01-06,06:41,Biometric,Success,KA,Mobile
1088,2025-01-11,22:02,Biometric,Success,MH,Mobile
1089,2025-01-09,01:56,OTP,Success,DL,POS
1090,2025-01-01,20:43,Biometric,Fail,DL,Mobile
1091,2025-01-08,22:04,Biometric,Success,MH,POS
1092,2025-01-11,16:40,OTP,Success,KA,POS
1093,2025-01-06,08:07,OTP,Success,KA,POS
1094,2025-01-02,23:27,OTP,Success,DL,Mobile
1095,2025-01-11,19:13,Biometric,Success,DL,Mobile
1096,2025-01-11,11:09,Biometric,Success,MH,Mobile
1097,2025-01-06,09:28,Biometric,Success,KA,Mobile
1098,2025-01-08,10:09,OTP,Success,KA,POS
1099,2025-01-05,06:27,Biometric,Success,MH,POS
1100,2025-01-06,10:17,Biometric,Fail,KA,Mobile
1101,2025-01-03,07:42,OTP,Success,DL,POS
1102,2025-01-05,11:58,Biometric,Success,MH,POS
1103,2025-01-03,13:54,Biometric,Fail,DL,POS
1104,2025-01-05,07:29,Biometric,Success,DL,Mobile
1105,2025-01-02,07:28,Biometric,Success,DL,Mobile
1106,2025-01-04,23:45,OTP,Success,MH,Mobile
1107,2025-01-04,08:56,Biometric,Fail,KA,Mobile
1108,2025-01-06,12:42,Biometric,Success,KA,POS
1109,2025-01-01,08:42,Biometric,Success,KA,POS
1110,2025-01-11,19:08,OTP,Success,KA,POS
1111,2025-01-01,11:28,Biometric,Fail,DL,POS
1112,2025-01-03,17:53,OTP,Success,KA,Mobile
1113,2025-01-08,19:53,OTP,Success,MH,Mobile
1114,2025-01-08,05:30,OTP,Success,DL,POS
1115,2025-01-01,23:07,Biometric,Success,KA,Mobile
1116,2025-01-08,05:40,Biometric,Success,MH,POS
1117,2025-01-10,23:28,OTP,Success,KA,Mobile
1118,2025-01-10,04:21,Biometric,Fail,MH,POS
1119,2025-01-06,21:57,OTP,Success,KA,POS
1120,2025-01-01,05:17,Biometric,Success,KA,POS
1121,2025-01-10,12:18,Biometric,Success,KA,Mobile
1122,2025-01-08,22:21,Biometric,Fail,MH,Mobile
1123,2025-01-01,23:45,OTP,Success,KA,Mobile
1124,2025-01-05,21:18,Biometric,Success,MH,POS
1125,2025-01-06,17:31,Biometric,Fail,KA,Mobile
1126,2025-01-01,15:57,OTP,Fail,KA,POS
1127,2025-01-05,16:26,Biometric,Success,MH,Mobile
1128,2025-01-05,06:31,Biometric,Success,KA,Mobile
1129,2025-01-03,06:17,OTP,Success,MH,POS
1130,2025-01-05,10:17,Biometric,Fail,MH,Mobile
1131,2025-01-01,12:10,OTP,Success,KA,Mobile
